day,name,rugged,rolling,details,location
1,Ryvoan Bothy,88 km,88 km,Bothy or wild camping nearby,Ryvoan
1,Glenmore campsite,92 km,92 km,Extra 4 km from bothy,Glenmore
1,Glenmore Youth Hostel,92 km,92 km,Extra 4 km from bothy; Pine Marten bar for food,Glenmore
2,Wild camping at Conagleann,78 km,78 km,Spots just after the loch; fill up with water before arriving,Conagleann
3,N/A — finish in Inverness,40 km,40 km,End of ride,Inverness
